repositorio,caminho,extensao,tamanho_bytes,sha256,status_git,classificacao,decisao,justificativa
sigo-clinicas-api,module/Application/src/Filter/RenameUpload.php,.php,1909,e8c756b6062fc2096c6d28942f21222144257844a7d05b96c9e108f15eeea49f,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/src/Filter/S3RenameUploadFactory.php,.php,1038,72011f2e1b7c9e81c8e82735e3a8e7c9e8335f679e141292053e4ddc62e61eea,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/src/Filter/Telefone.php,.php,770,088557d8f9bfb89066b6c48fe24e59e8d44790fda7c2722c6c3055f8aa5029e9,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/src/Listener/AuthenticationListener.php,.php,3592,052c73349b5bcb518d3f9c99cdb6864330f71fdcc047cf4788e3f3e53d973bff,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/src/Listener/AuthenticationListenerFactory.php,.php,1526,ad02b6ab7f578985a6132d5c31ef1b54764253f99d2db88621f0b1815d7dc126,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/src/Listener/AuthorizationListener.php,.php,26872,a78757b9e0e9a48b975b1800e64d39c83fbdd19ce8d79745076b6b8fa38aaa6d,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/src/Module.php,.php,3675,9e55fc0d0d7fb420f2e39dd02e4d798083bc1dcc71a2366cdcfd55d2eb1e6f73,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/src/Repository/EntityRepository.php,.php,4419,373af8dd22fcfeb548318b3b8bd9d7bf4cc297fad254d1ca411aa2798a5aa99b,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/src/Rest/AbstractResourceListener.php,.php,6776,5e90c683c092bb7286226f15dc8e0110e95d5a3b5508af85a90a2bc0d86b34b6,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/src/Rest/AbstractUserResourceListener.php,.php,5718,7be875c2d37863022ca1334a5ed8f4e85f5d0be31d2b87db0bfe031a8fb36ed3,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/src/Service/OAuth2ClientService.php,.php,2036,003ef6d59294f2bbd5aedce4445ec1913c77ee47ab96389b673821dd10299dbc,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/src/Service/OAuth2ClientServiceFactory.php,.php,1297,e9d88dc42a96dbf89dbe590ec381ec27b7943c4cc9309def9594d009737049e0,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/src/Validator/NoObjectExistsFactory.php,.php,1377,6862518f7eaa5efebc0a8b72f817bae60bcfb13daf02b6c72dbd14d2585a05fc,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/src/Validator/ObjectExistsFactory.php,.php,1367,fffb5f6c136df8572635bf1f820a053f1cc5bb34a5f550bf6cc56f1d7a8e2277,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/src/Validator/UniqueObjectFactory.php,.php,1455,d90dc39f03e9cb52d0b2920f5a2f4992c8bc759150b8ec34f3dc975f7ad567a2,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/src/View/Helper/Telefone.php,.php,304,5daa257c7394a8f80a5f16ecf4a9b7ad7a700bcb7b47824cf11bfe957fd4cc39,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/test/Controller/IndexControllerTest.php,.php,1842,dce6cdee20eed0d80e396ae243dd53e1fb7a0eda2bfd715460eaf32486b235ea,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/test/Controller/ZZIndexControllerDevModeTest.php,.php,1858,1fe9fe4f011bf7f65a34edac34dc052a3afa161793c73f2c14c084d0791895a5,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/view/application/index/index.phtml,.phtml,700,7639a16ff420cb2cb300481b6e24bde1fb3843816ea98fa5def9b1a3f9ba57f1,tracked,PHP-Template,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/view/error/404.phtml,.phtml,3330,1379110e6ced6473fe768e6f6b5805090258cab1cfa93138b0f5f883122c8ad4,tracked,PHP-Template,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/view/error/index.phtml,.phtml,1775,9eb026ed7ea0009adcf6b7c46c3e4b41300235b9e15890a010bd3b459db5faba,tracked,PHP-Template,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/view/layout/layout.phtml,.phtml,1458,ca415d3777e26d86460525c0a602943da05c3f178e4449ab827ea897fe3ee119,tracked,PHP-Template,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/view/mail/agendamento/client.phtml,.phtml,29390,1fbfcb7a2c2fde494a1a0a92803927304cddd566a9ba8d973ec81d48bde95f5e,tracked,PHP-Template,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/view/mail/agendamento/clinic.phtml,.phtml,13109,fbb6b5400af391b7cff59fb9eb8c63c6bbb428765ce61debaec5ecc8558361ed,tracked,PHP-Template,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Cliente/config/module.config.php,.php,65345,5691445a6f2cfa82263256ec99adb8f9707edd3eb8d6079d5b47f78f1422972a,tracked,PHP,full-content,conteúdo integral incluído
