repositorio,caminho,extensao,tamanho_bytes,sha256,status_git,classificacao,decisao,justificativa
bedin-painel,public/resources/images/avatars/3.jpg,.jpg,13140,d85f2b91655a6859820b97c8ffe49a178cd2253db08764ba09c3bd4571aa7611,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/avatars/4.jpg,.jpg,12285,3998a4b6621fb429f9175d4ee006f0352c41e11557d5d63d4b3a3b1de3810d0c,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/avatars/5.jpg,.jpg,13800,da4e42e6d2c650c91343c5433f7433985847d25acf9dc303a1704205a0f18ae1,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/avatars/temp.jpg,.jpg,2562,a85140ea0b23984b5d0f89eac45f2bdb1dbf51697a272cae197e32de7da44282,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/docx-icon.png,.png,1440,9f4a37351e3e8bdedf4258bd8dbbfbab08acfd544fe12b3578961848822b06a3,tracked,png,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/ecommerce/001.jpg,.jpg,31299,335b05e5dc1385f9d002df6b93b873d77b52babe9cf98d6540e4a8070ed2a730,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/ecommerce/002.jpg,.jpg,25087,e875395cf2d3f8bcb873eee006355e12d7b31100ca2b152cea8ae9d24ba07464,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/ecommerce/003.jpg,.jpg,28041,f3b29a7d8ff2a60b4e6ec8ebdc61e6a307e71cf14b99ac33d42b2405cfbbaa28,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/ecommerce/004.jpg,.jpg,28664,9deb41af7eb83b6c85c8834e61558a6fcfb962f2681fab64bd033a09814328f9,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/ecommerce/amazon.jpg,.jpg,24365,a9a73b89d5d6cd89eef885c9b68357ac7f968d17c3f90395f12871e97fe4ffd7,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/ecommerce/ecommerce-empty.jpg,.jpg,6087,534999b57ad2f7ed0127319246c9c7c09960607d60c2ad776a7f7f8ace761234,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/favicon.ico,.ico,5430,d784071ae8726fcd6da822ba1f1e2689bc244ba40f3229da28b6d4c5fe910bd8,tracked,ico,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/icons/cancel.png,.png,344,f2e47171fd36232868502065d36459520166bd144413178f195312b5553da332,tracked,png,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/login/1.jpg,.jpg,830722,c5aec719de56fdb709f8fe15357065433c40fead3e397ce55e40ca40401093c0,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/login/2.jpg,.jpg,672064,1374e1edf451edbf90db66ed7d4ea296d6da90fa90b45c0a0d879f79b9056e80,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/login/3.jpg,.jpg,567759,86a773f1f354217673714fdeb22488f1140acc447c7ad058e443c0ea77c4b54b,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/login/4.jpg,.jpg,528077,acecb104e22aa15e1bbc07d93ca03595423b5ae77328fcef75f52bd11f609036,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/login/5.jpg,.jpg,359057,43ac777b1b80b6f78dfd2db601e8bfcffa3110bf741ed54637dbec25fd0bcdbc,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/login/amazon.jpg,.jpg,24365,a9a73b89d5d6cd89eef885c9b68357ac7f968d17c3f90395f12871e97fe4ffd7,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/login/avatar.jpg,.jpg,13298,2ee12d7db9dc7863f94a1a7246c8695d5df70f12f12e47ca30b8c9b08d726442,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/login/bg-login.jpg,.jpg,455481,dec86826c6b78cf2cf3e6e3c943745ec9ab6648a87a844c71a20639e86c67384,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/login/logo-inverse.png,.png,17694,b0062c747cc48e37eba0e4a00f602aa6e393f8652d14e601c6aef853e4ae9467,tracked,png,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/login/logo.png,.png,17711,658228e3bfa7b1bf8b334640b80fa228dd618be67898df4e41c9aa9b393dfdc9,tracked,png,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/login.jpg,.jpg,83825,7030570a17dca40d640ec53aa11a337276f6c5cd68b130140383227a8949cabe,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/logo-inverse-mobile.png,.png,9560,419bc5198184059ecf6575a9c6ae026966e974b6fe32ac88594bf96121e6cb33,tracked,png,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/logo-inverse.png,.png,17694,b0062c747cc48e37eba0e4a00f602aa6e393f8652d14e601c6aef853e4ae9467,tracked,png,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/logo-mobile.png,.png,9560,9d016571ecd3b7a3f6c2929981c5a0d424648463644880462a465e70c0e299e4,tracked,png,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/logo.png,.png,3289,1bb48ba43714920457a9257529e115e1ea4de7871053546116de3964488e5092,tracked,png,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/logo_branca.png,.png,3287,7415a903ff4cb6208f11053f840a3ae0d51938550d70d3a390aad0d3c5e7f21a,tracked,png,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/logo_cinza.png,.png,3007,94c75cf691fc99a4270a9afc9c42b49ea29ff06d08a1193e01662319859973ce,tracked,png,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/mediatec-inverse.png,.png,1551,38ffff377aba21ee6d74af3974cae20017c49fd5a0ef98e24dfebd911df1e67d,tracked,png,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/mediatec.png,.png,2144,6929bb281e58680cd1a4005ad1fa760b9a107680f4939e44952782d321631202,tracked,png,metadata-only,arquivo binário/não-textual — representado por hash e metadados
bedin-painel,public/resources/images/pdf-icon.png,.png,1262,9518cf5191d63a116222c3feac2d976c71287a1870f2121f8eb1a5af2000508a,tracked,png,metadata-only,arquivo binário/não-textual — representado por hash e metadados
